id,sentence,class
1,"This Agreement shall take effect on March 1, 2004 (the ""Effective Date"") and shall continue in effect until August 31, 2007 (the ""Initial Term"").",1
2,"Within 30 days of the date hereof, the parties shall negotiate in good faith the terms and methods for the (i) placement of orders, (ii) payment for orders, (iii) determination of purchase prices, (iv) shipping methods and (v) such other details as are necessary to carry out the terms of this Letter Agreement.",1
3,(d) DAS shall return rejected Product to Eon at Eon's cost.,1
4,Autotote will own the Intellectual Property Rights to all said prototypes.,1
5,ARTICLE V QUALITY ASSURANCE/SAFETY/RECALLS 5.1 QUALITY CONTROL.,0
6,"Article 6 of the Agreement shall be deleted in its entirety and replaced with a new Article 6 which shall read as follows: 6.1 In consideration of the manufacturing activities to be performed by ACT II hereunder, JPI and JANSSEN US will pay the Manufacturing Fee for the Products supplied to each of them.",1
7,"For cartridges retained in the Medica warehouse, Medica shall deliver these Cartridges, FOB the warehouse, in quantities and to addresses specified in writing (by fax, email, or other means of correspondence, tbd) by Nephros, in order to fulfill individual Nephros customer orders.",1
8,"ADDITIONAL CUSTOMER SUPPORT REPRESENTATIVE NETWORK The network of Pratt & Whitney, RollsRoyce and other IAE customer support representatives located at New Air' destinations will be fully trained on all facets of V2500 Engine line maintenance and will be available to assist New Air as required.",1
9,"5.2 Material Review Board (MRB): Activities and trending resulting from materials, components and/or finished product manufactured for or under the auspices of Nephros shall be reported to Nephros Quality Assurance on a monthly basis.",1
10,"(d) This agreement constitutes its valid and binding obligation, enforceable in accordance with its terms, except as enforceability is limited by (A) any applicable bankruptcy, insolvency, reorganization, moratorium or similar law affecting creditors' rights generally, or (B) general principles of equity, whether considered in a proceeding in equity or at law.",0
11,"(c) Whether or not Eon accepts DAS's basis for rejection, promptly on receipt of a notice of rejection, Eon shall use all diligent efforts, at DAS's request, to provide replacement Product within sixty (60) days after receipt of a rejection notice from DAS.",1
12,"Each shipment of Cartridges will be delivered by Medica FOB the applicable Medica manufacturing facility or retained in Medica's warehouse facility, in accordance with Nephros instructions for each shipment.",1
13,"(b) Medica shall file, prosecute and maintain patent applications and resulting patents, if any, on Medica Inventions or on any Joint Inventions relating to manufacture of the Cartridge.",1
14,"(a) On or prior to the Forecast Initiation Date (""FID""), as specified in Schedule 3.1, Nephros shall deliver to Medica a forecast of how many Cartridges it will purchase for delivery in each of the nine consecutive months beginning one month following the FID.",1
15,Such reports shall be subject to Eon's audit and approval.,1
16,"While at an ASE Facility, the Motorola Employees shall abide 3 4 by the policies and regulations of ASE, and Motorola shall, at ASE's reasonable request, replace or reassign any such employees who fail to do so.",1
17,"Late payments shall result in the assessment of a late charge equal to one and onehalf percent (1 1/2%) per month on any outstanding balance, or the maximum amount of interest chargeable by law, whichever is less.",1
18,1 Payment Liability 1.,0
19,"In addition to the foregoing, Supplier shall take such reasonable further steps as Buyer may direct to insure the protection of confidential information.",1
20,Supplier's sole responsibility to Customer with respect to any Equipment or components and parts manufactured by a third party and incorporated into the Equipment shall be to pass through to Customer such original equipment manufacturer's available product warranty.,1
21,"(B) ASE shall identify to Motorola an account team dedicated to the implementation of this Agreement, which team shall include, at a minimum, an account executive, an account manager, a customer service representative and engineering support personnel.",1
22,1.,0
23,"Customer shall maintain the confidentiality of the Software and shall not sublicense, sell, rent, disclose, make available, or otherwise communicate the Software to any other person, or use the Software except as expressly authorized in writing by Supplier.",1
24,"1.9 ""PURCHASE ORDER"" shall mean a firm order for Product submitted by DAS to Eon.",1
25,"An additional sentence shall be added to the end of paragraph (a) of section 4 (Price and Payment) as follows: ""Notwithstanding anything else contained herein, Nortel Networks shall be entitled to require SAVVIS to pay in advance for products and services to be provided hereunder at any time that Nortel Networks, in its discretion, is not satisfied with SAVVIS' credit worthiness.""",1
26,Nephros may not further postpone delivery of any Cartridges the delivery of which was previously postponed.,1
27,"(a) Medica shall at its cost obtain and maintain one or more insurance policies providing coverage of at least Euro 5,000,000 in the aggregate that cover Medica for fire, theft, fidelity, product liability, and any and all potential claims, suits, losses, expenses, or damages arising out of Medica's obligations under this agreement.",1
28,No license is granted with respect to Autotote's source code for the Software.,0
29,"(e) Medica is not required to obtain the Consent of any Person, including the Consent of any party to any Contract to which it is a party, in connection with execution and delivery of this agreement and performance of its obligations under this agreement.",1
30,ASE's dock.,0
31,1.4 Contractor shall prepare and submit to Customer the quality control records and reports set forth in Exhibit II and shall also furnish to Customer without charge a reasonable number of samples from each production run of Product as set forth in Exhibit II for quality control purposes.,1
32,MARKING OF GOODS All items will be marked by Supplier in such manner as Buyer may specify.,1
33,The parties shall establish and hold meetings of a Joint Review Committee annually.,1
34,"Notwithstanding paragraph 8.1, Contractor shall not have an obligation of confidentiality with respect to information which: 8.2.a.",1
35,was known and can be shown to have been known by Contractor at the time of receipt from Customer and was not acquired directly or indirectly from Customer on a confidential basis; or 5 8.2.c.,0
36,"MANUFACTURING AND SUPPLY AGREEMENT This manufacturing and supply agreement is dated 12 May, 2003, and is between NEPHROS, INC., a Delaware corporation (""Nephros"") and MEDICA s.r.l., an Italian company (""Medica"").",0
37,"(d) Intellectual Property, whether or not patentable, that arises under this agreement and is made solely by an employee or agent of Medica and without reference to any Confidential Information or Intellectual Property disclosed by Nephros will be owned by Medica (that Intellectual Property, ""Medica Inventions"").",1
38,3 3.4.,0
